ID,Name,Data_Source,Distance_to_Polygon,Inside_Buffer (File Read (Task 1)),Radius_Dist
353,Point_353,Radius Search Result,567.23,No,1691.48
354,Point_354,Radius Search Result,368.19,Yes,1692.56
355,Point_355,Radius Search Result,398.42,Yes,1693.42
356,Point_356,Radius Search Result,503.68,No,1695.29
357,Point_357,Radius Search Result,605.8,No,1696.97
358,Point_358,Radius Search Result,583.76,No,1699.56
359,Point_359,Radius Search Result,418.93,Yes,1701.23
360,Point_360,Radius Search Result,394.72,Yes,1708.98
361,Point_361,Radius Search Result,595.78,No,1710.81
362,Point_362,Radius Search Result,469.28,Yes,1716.05
363,Point_363,Radius Search Result,482.57,Yes,1716.26
364,Point_364,Radius Search Result,626.13,No,1717.19
365,Point_365,Radius Search Result,594.37,No,1717.86
366,Point_366,Radius Search Result,291.34,Yes,1727.09
367,Point_367,Radius Search Result,548.86,No,1727.68
368,Point_368,Radius Search Result,514.35,No,1731.3
369,Point_369,Radius Search Result,292.06,Yes,1731.95
370,Point_370,Radius Search Result,621.27,No,1735.32
371,Point_371,Radius Search Result,622.71,No,1735.93
372,Point_372,Radius Search Result,614.49,No,1745.4
373,Point_373,Radius Search Result,428.05,Yes,1752.36
374,Point_374,Radius Search Result,393.78,Yes,1753.88
375,Point_375,Radius Search Result,579.37,No,1754.1
376,Point_376,Radius Search Result,523.18,No,1754.89
377,Point_377,Radius Search Result,200.6,Yes,1758.74
378,Point_378,Radius Search Result,570.31,No,1760.38
379,Point_379,Radius Search Result,616.4,No,1762.33
380,Point_380,Radius Search Result,254.98,Yes,1764.55
381,Point_381,Radius Search Result,551.03,No,1765.22
382,Point_382,Radius Search Result,290.21,Yes,1766.27
383,Point_383,Radius Search Result,637.45,No,1768.82
384,Point_384,Radius Search Result,519.62,No,1783.01
385,Point_385,Radius Search Result,238.26,Yes,1784.18
386,Point_386,Radius Search Result,308.92,Yes,1792.63
387,Point_387,Radius Search Result,250.28,Yes,1798.31
388,Point_388,Radius Search Result,642.66,No,1798.57
389,Point_389,Radius Search Result,635.53,No,1800.24
390,Point_390,Radius Search Result,506.02,No,1800.27
391,Point_391,Radius Search Result,672.25,No,1804.78
392,Point_392,Radius Search Result,581.75,No,1805.05
393,Point_393,Radius Search Result,247.16,Yes,1805.79
394,Point_394,Radius Search Result,644.74,No,1806.35
395,Point_395,Radius Search Result,708.04,No,1809.24
396,Point_396,Radius Search Result,470.45,Yes,1810.22
397,Point_397,Radius Search Result,275.83,Yes,1810.33
398,Point_398,Radius Search Result,286.52,Yes,1812.01
399,Point_399,Radius Search Result,674.36,No,1812.88
400,Point_400,Radius Search Result,729.98,No,1821.79
401,Point_401,Radius Search Result,623.07,No,1823.04
402,Point_402,Radius Search Result,312.99,Yes,1825.21
403,Point_403,Radius Search Result,736.79,No,1827.86
404,Point_404,Radius Search Result,608.4,No,1827.87
405,Point_405,Radius Search Result,629.56,No,1827.97
406,Point_406,Radius Search Result,705.76,No,1834.03
407,Point_407,Radius Search Result,448.71,Yes,1841.6
408,Point_408,Radius Search Result,612.36,No,1844.89
409,Point_409,Radius Search Result,348.98,Yes,1854.66
410,Point_410,Radius Search Result,311.31,Yes,1855.11
411,Point_411,Radius Search Result,683.99,No,1858.11
412,Point_412,Radius Search Result,523.63,No,1859.12
413,Point_413,Radius Search Result,739.2,No,1859.42
414,Point_414,Radius Search Result,582.03,No,1860.0
415,Point_415,Radius Search Result,730.81,No,1860.68
416,Point_416,Radius Search Result,416.69,Yes,1862.5
417,Point_417,Radius Search Result,659.23,No,1865.07
418,Point_418,Radius Search Result,308.5,Yes,1866.7
419,Point_419,Radius Search Result,645.99,No,1866.8
420,Point_420,Radius Search Result,571.11,No,1869.36
421,Point_421,Radius Search Result,331.38,Yes,1870.51
422,Point_422,Radius Search Result,387.92,Yes,1874.29
423,Point_423,Radius Search Result,752.01,No,1876.04
424,Point_424,Radius Search Result,638.24,No,1880.57
425,Point_425,Radius Search Result,782.94,No,1885.67
426,Point_426,Radius Search Result,707.98,No,1886.99
427,Point_427,Radius Search Result,775.38,No,1890.25
428,Point_428,Radius Search Result,677.31,No,1891.77
429,Point_429,Radius Search Result,335.12,Yes,1892.62
430,Point_430,Radius Search Result,483.81,Yes,1893.6
431,Point_431,Radius Search Result,702.95,No,1894.01
432,Point_432,Radius Search Result,781.51,No,1895.96
433,Point_433,Radius Search Result,485.14,Yes,1899.71
434,Point_434,Radius Search Result,682.55,No,1900.13
435,Point_435,Radius Search Result,670.33,No,1901.34
436,Point_436,Radius Search Result,717.57,No,1903.28
437,Point_437,Radius Search Result,610.19,No,1904.05
438,Point_438,Radius Search Result,415.63,Yes,1904.21
439,Point_439,Radius Search Result,433.45,Yes,1908.97
440,Point_440,Radius Search Result,457.71,Yes,1909.74
441,Point_441,Radius Search Result,445.61,Yes,1911.2
442,Point_442,Radius Search Result,790.78,No,1914.29
443,Point_443,Radius Search Result,709.02,No,1916.17
444,Point_444,Radius Search Result,397.72,Yes,1916.46
445,Point_445,Radius Search Result,366.71,Yes,1917.99
446,Point_446,Radius Search Result,790.97,No,1919.25
447,Point_447,Radius Search Result,514.03,No,1922.31
448,Point_448,Radius Search Result,812.53,No,1926.3
449,Point_449,Radius Search Result,764.8,No,1926.89
450,Point_450,Radius Search Result,717.74,No,1927.08
451,Point_451,Radius Search Result,777.23,No,1932.45
452,Point_452,Radius Search Result,838.63,No,1937.15
453,Point_453,Radius Search Result,662.26,No,1940.64
454,Point_454,Radius Search Result,444.42,Yes,1941.35
455,Point_455,Radius Search Result,545.21,No,1942.19
456,Point_456,Radius Search Result,753.78,No,1948.42
457,Point_457,Radius Search Result,743.71,No,1950.2
458,Point_458,Radius Search Result,864.49,No,1956.04
459,Point_459,Radius Search Result,544.11,No,1956.4
460,Point_460,Radius Search Result,422.28,Yes,1957.97
461,Point_461,Radius Search Result,851.37,No,1960.46
462,Point_462,Radius Search Result,819.85,No,1963.36
463,Point_463,Radius Search Result,686.13,No,1965.0
464,Point_464,Radius Search Result,700.1,No,1965.31
465,Point_465,Radius Search Result,834.05,No,1969.0
466,Point_466,Radius Search Result,694.3,No,1970.89
467,Point_467,Radius Search Result,545.4,No,1972.54
468,Point_468,Radius Search Result,824.78,No,1972.92
469,Point_469,Radius Search Result,842.09,No,1975.6
470,Point_470,Radius Search Result,495.29,Yes,1977.81
471,Point_471,Radius Search Result,842.47,No,1979.98
472,Point_472,Radius Search Result,864.47,No,1981.11
473,Point_473,Radius Search Result,890.28,No,1981.47
474,Point_474,Radius Search Result,841.87,No,1983.5
475,Point_475,Radius Search Result,731.85,No,1983.95
476,Point_476,Radius Search Result,834.78,No,1985.43
477,Point_477,Radius Search Result,665.35,No,1990.69
478,Point_478,Radius Search Result,834.74,No,1991.08
479,Point_479,Radius Search Result,897.64,No,1991.49
480,Point_480,Radius Search Result,891.29,No,1992.51
481,Point_481,Radius Search Result,796.52,No,1996.58
482,Point_482,Radius Search Result,501.93,No,1998.45
483,Point_483,Radius Search Result,513.76,No,1998.66
